,Open,High,Low,Close,Volume
2025-07-21 13:05:00,9.576,9.5851,9.5697,9.5844,0.0
2025-07-21 13:10:00,9.5842,9.5863,9.5729,9.5732,0.0
2025-07-21 13:15:00,9.5808,9.583,9.569,9.5768,0.0
2025-07-21 13:20:00,9.5767,9.5837,9.5687,9.582,0.0
2025-07-21 13:25:00,9.5821,9.5929,9.576,9.5867,0.0
2025-07-21 13:30:00,9.587,9.592,9.5756,9.5844,0.0
2025-07-21 13:35:00,9.5845,9.5889,9.574,9.5827,0.0
2025-07-21 13:40:00,9.5763,9.586,9.5717,9.5717,0.0
2025-07-21 13:45:00,9.5782,9.5847,9.572,9.5742,0.0
2025-07-21 13:50:00,9.5805,9.5856,9.5739,9.5825,0.0
2025-07-21 13:55:00,9.5823,9.5833,9.5721,9.5826,0.0
2025-07-21 14:00:00,9.5829,9.5851,9.5733,9.5846,0.0
2025-07-21 14:05:00,9.5845,9.5849,9.5738,9.584,0.0
2025-07-21 14:10:00,9.5841,9.587,9.5763,9.585,0.0
2025-07-21 14:15:00,9.5851,9.589,9.5784,9.5868,0.0
2025-07-21 14:20:00,9.5867,9.5873,9.5725,9.5802,0.0
2025-07-21 14:25:00,9.5803,9.5809,9.5689,9.5795,0.0
2025-07-21 14:30:00,9.5794,9.5807,9.5714,9.5794,0.0
2025-07-21 14:35:00,9.5795,9.5835,9.5715,9.5829,0.0
2025-07-21 14:40:00,9.5828,9.5852,9.5755,9.579,0.0
2025-07-21 14:45:00,9.5844,9.5874,9.5752,9.587,0.0
2025-07-21 14:50:00,9.5872,9.5873,9.5734,9.5825,0.0
2025-07-21 14:55:00,9.5827,9.5835,9.569,9.5783,0.0
2025-07-21 15:00:00,9.5781,9.5802,9.5673,9.5767,0.0
2025-07-21 15:05:00,9.5677,9.5809,9.5666,9.5802,0.0
2025-07-21 15:10:00,9.5803,9.5811,9.5652,9.5775,0.0
2025-07-21 15:15:00,9.5769,9.578,9.5683,9.5772,0.0
2025-07-21 15:20:00,9.5773,9.5795,9.5721,9.5785,0.0
2025-07-21 15:25:00,9.5784,9.5808,9.5706,9.5801,0.0
2025-07-21 15:30:00,9.5731,9.5835,9.5729,9.5813,0.0
2025-07-21 15:35:00,9.5814,9.5822,9.569,9.5775,0.0
2025-07-21 15:40:00,9.5774,9.5798,9.5714,9.5766,0.0
2025-07-21 15:45:00,9.5714,9.5789,9.5713,9.5727,0.0
2025-07-21 15:50:00,9.5779,9.5806,9.5704,9.5774,0.0
2025-07-21 15:55:00,9.5776,9.583,9.5702,9.5755,0.0
2025-07-21 16:00:00,9.5822,9.5831,9.5734,9.5761,0.0
2025-07-21 16:05:00,9.5811,9.5827,9.574,9.5801,0.0
2025-07-21 16:10:00,9.5803,9.5813,9.5673,9.5803,0.0
2025-07-21 16:15:00,9.58,9.586,9.5746,9.5855,0.0
2025-07-21 16:20:00,9.5798,9.587,9.578,9.5851,0.0
2025-07-21 16:25:00,9.585,9.5883,9.5795,9.5857,0.0
2025-07-21 16:30:00,9.5855,9.5875,9.5681,9.577,0.0
2025-07-21 16:35:00,9.5767,9.5871,9.573,9.5865,0.0
2025-07-21 16:40:00,9.5866,9.5893,9.5635,9.5716,0.0
2025-07-21 16:45:00,9.5719,9.5723,9.5603,9.561,0.0
2025-07-21 16:50:00,9.5613,9.5878,9.5613,9.5738,0.0
2025-07-21 16:55:00,9.5741,9.5849,9.5711,9.5782,0.0
2025-07-21 17:00:00,9.5781,9.5793,9.5729,9.5745,0.0
2025-07-21 17:05:00,9.576,9.5763,9.5751,9.5751,0.0
2025-07-21 17:10:00,9.5762,9.5773,9.576,9.5773,0.0
2025-07-21 17:15:00,9.5772,9.5774,9.577,9.5774,0.0
2025-07-21 17:20:00,9.5773,9.5774,9.5765,9.5767,0.0
2025-07-21 17:25:00,9.5769,9.5771,9.5757,9.576,0.0
2025-07-21 17:30:00,9.5766,9.5766,9.5746,9.5746,0.0
2025-07-21 17:35:00,9.5764,9.5765,9.5742,9.5765,0.0
2025-07-21 17:40:00,9.5764,9.5764,9.5734,9.5759,0.0
2025-07-21 17:45:00,9.576,9.576,9.5753,9.5755,0.0
2025-07-21 17:50:00,9.5761,9.5765,9.5752,9.5758,0.0
2025-07-21 17:55:00,9.5755,9.5764,9.5748,9.5764,0.0
2025-07-21 18:00:00,9.5764,9.5764,9.5764,9.5764,0.0
2025-07-21 18:05:00,9.5764,9.5764,9.5764,9.5764,0.0
2025-07-21 18:10:00,9.5764,9.5764,9.5764,9.5764,0.0
2025-07-21 18:15:00,9.5764,9.5764,9.5764,9.5764,0.0
2025-07-21 18:20:00,9.577,9.5788,9.577,9.5788,0.0
2025-07-21 18:25:00,9.5788,9.5788,9.5788,9.5788,0.0
2025-07-21 18:30:00,9.5781,9.5781,9.5778,9.5778,0.0
2025-07-21 18:35:00,9.5786,9.5786,9.5786,9.5786,0.0
2025-07-21 18:40:00,9.5797,9.5805,9.577,9.5789,0.0
2025-07-21 18:45:00,9.5782,9.5798,9.5759,9.579,0.0
2025-07-21 18:50:00,9.5802,9.5802,9.5767,9.5777,0.0
2025-07-21 18:55:00,9.5802,9.5803,9.5776,9.5776,0.0
