,Open,High,Low,Close,Volume
2025-07-22 04:30:00,32.3,32.32,32.27,32.3,0.0
2025-07-22 04:35:00,32.26,32.31,32.26,32.3,0.0
2025-07-22 04:40:00,32.28,32.31,32.25,32.29,0.0
2025-07-22 04:45:00,32.28,32.31,32.25,32.29,0.0
2025-07-22 04:50:00,32.3,32.31,32.26,32.3,0.0
2025-07-22 04:55:00,32.29,32.31,32.26,32.31,0.0
2025-07-22 05:00:00,32.3,32.31,32.26,32.3,0.0
2025-07-22 05:05:00,32.27,32.3,32.26,32.29,0.0
2025-07-22 05:10:00,32.3,32.3,32.25,32.27,0.0
2025-07-22 05:15:00,32.3,32.3,32.25,32.27,0.0
2025-07-22 05:20:00,32.29,32.3,32.26,32.29,0.0
2025-07-22 05:25:00,32.26,32.3,32.25,32.28,0.0
2025-07-22 05:30:00,32.29,32.3,32.25,32.28,0.0
2025-07-22 05:35:00,32.25,32.3,32.25,32.3,0.0
2025-07-22 05:40:00,32.29,32.31,32.26,32.3,0.0
2025-07-22 05:45:00,32.27,32.3,32.25,32.29,0.0
2025-07-22 05:50:00,32.28,32.3,32.25,32.28,0.0
2025-07-22 05:55:00,32.29,32.31,32.26,32.29,0.0
2025-07-22 06:00:00,32.3,32.31,32.26,32.3,0.0
2025-07-22 06:05:00,32.31,32.31,32.25,32.26,0.0
2025-07-22 06:10:00,32.25,32.29,32.24,32.28,0.0
2025-07-22 06:15:00,32.25,32.28,32.24,32.28,0.0
2025-07-22 06:20:00,32.25,32.29,32.24,32.26,0.0
2025-07-22 06:25:00,32.29,32.29,32.25,32.26,0.0
2025-07-22 06:30:00,32.25,32.29,32.25,32.28,0.0
2025-07-22 06:35:00,32.29,32.3,32.25,32.26,0.0
2025-07-22 06:40:00,32.27,32.3,32.26,32.29,0.0
2025-07-22 06:45:00,32.26,32.3,32.26,32.27,0.0
2025-07-22 06:50:00,32.29,32.3,32.26,32.29,0.0
2025-07-22 06:55:00,32.3,32.3,32.25,32.28,0.0
2025-07-22 07:00:00,32.29,32.3,32.25,32.3,0.0
2025-07-22 07:05:00,32.27,32.3,32.25,32.28,0.0
2025-07-22 07:10:00,32.25,32.3,32.25,32.28,0.0
2025-07-22 07:15:00,32.26,32.3,32.25,32.28,0.0
2025-07-22 07:20:00,32.26,32.29,32.25,32.28,0.0
2025-07-22 07:25:00,32.25,32.29,32.25,32.25,0.0
2025-07-22 07:30:00,32.29,32.29,32.25,32.29,0.0
2025-07-22 07:35:00,32.26,32.29,32.23,32.26,0.0
2025-07-22 07:40:00,32.25,32.27,32.22,32.25,0.0
2025-07-22 07:45:00,32.23,32.26,32.2,32.23,0.0
2025-07-22 07:50:00,32.21,32.25,32.2,32.25,0.0
2025-07-22 07:55:00,32.23,32.25,32.2,32.24,0.0
2025-07-22 08:00:00,32.21,32.24,32.19,32.23,0.0
2025-07-22 08:05:00,32.2,32.22,32.19,32.22,0.0
2025-07-22 08:10:00,32.19,32.23,32.19,32.22,0.0
2025-07-22 08:15:00,32.19,32.22,32.19,32.22,0.0
2025-07-22 08:20:00,32.2,32.24,32.19,32.22,0.0
2025-07-22 08:25:00,32.2,32.24,32.19,32.19,0.0
2025-07-22 08:30:00,32.22,32.23,32.19,32.22,0.0
2025-07-22 08:35:00,32.23,32.23,32.19,32.23,0.0
2025-07-22 08:40:00,32.2,32.23,32.19,32.22,0.0
2025-07-22 08:45:00,32.19,32.23,32.18,32.21,0.0
2025-07-22 08:50:00,32.19,32.23,32.18,32.21,0.0
2025-07-22 08:55:00,32.18,32.22,32.18,32.21,0.0
2025-07-22 09:00:00,32.18,32.22,32.18,32.21,0.0
2025-07-22 09:05:00,32.18,32.22,32.17,32.21,0.0
2025-07-22 09:10:00,32.2,32.21,32.17,32.18,0.0
2025-07-22 09:15:00,32.21,32.21,32.17,32.2,0.0
2025-07-22 09:20:00,32.17,32.21,32.16,32.21,0.0
2025-07-22 09:25:00,32.18,32.21,32.16,32.17,0.0
2025-07-22 09:30:00,32.19,32.2,32.16,32.2,0.0
2025-07-22 09:35:00,32.19,32.21,32.16,32.19,0.0
2025-07-22 09:40:00,32.16,32.21,32.16,32.18,0.0
2025-07-22 09:45:00,32.2,32.21,32.16,32.19,0.0
2025-07-22 09:50:00,32.17,32.2,32.16,32.17,0.0
2025-07-22 09:55:00,32.2,32.2,32.16,32.2,0.0
2025-07-22 10:00:00,32.17,32.21,32.16,32.18,0.0
2025-07-22 10:05:00,32.21,32.23,32.17,32.22,0.0
2025-07-22 10:10:00,32.21,32.25,32.2,32.24,0.0
2025-07-22 10:15:00,32.21,32.24,32.18,32.2,0.0
2025-07-22 10:20:00,32.18,32.22,32.17,32.18,0.0
2025-07-22 10:25:00,32.21,32.21,32.16,32.2,0.0
