,Open,High,Low,Close,Volume
2025-07-22 02:35:00,40.4161,40.4181,40.331,40.333,0.0
2025-07-22 02:40:00,40.3981,40.4171,40.33,40.4155,0.0
2025-07-22 02:45:00,40.4119,40.4172,40.294,40.4093,0.0
2025-07-22 02:50:00,40.4121,40.4167,40.33,40.3745,0.0
2025-07-22 02:55:00,40.4147,40.4175,40.2669,40.33,0.0
2025-07-22 03:00:00,40.3732,40.417,40.327,40.333,0.0
2025-07-22 03:05:00,40.4139,40.4172,40.328,40.4123,0.0
2025-07-22 03:10:00,40.375,40.4181,40.328,40.4168,0.0
2025-07-22 03:15:00,40.4171,40.421,40.328,40.417,0.0
2025-07-22 03:20:00,40.4189,40.4212,40.329,40.4169,0.0
2025-07-22 03:25:00,40.4181,40.4187,40.328,40.4087,0.0
2025-07-22 03:30:00,40.4136,40.4181,40.328,40.413,0.0
2025-07-22 03:35:00,40.333,40.4182,40.328,40.3758,0.0
2025-07-22 03:40:00,40.328,40.4175,40.328,40.3754,0.0
2025-07-22 03:45:00,40.3961,40.418,40.329,40.4151,0.0
2025-07-22 03:50:00,40.4039,40.4177,40.334,40.334,0.0
2025-07-22 03:55:00,40.3984,40.4185,40.329,40.4179,0.0
2025-07-22 04:00:00,40.4181,40.4197,40.329,40.4094,0.0
2025-07-22 04:05:00,40.4179,40.4205,40.33,40.337,0.0
2025-07-22 04:10:00,40.4014,40.421,40.33,40.4198,0.0
2025-07-22 04:15:00,40.4165,40.4203,40.33,40.4202,0.0
2025-07-22 04:20:00,40.4203,40.4203,40.328,40.4077,0.0
2025-07-22 04:25:00,40.332,40.419,40.326,40.3761,0.0
2025-07-22 04:30:00,40.332,40.4195,40.328,40.4165,0.0
2025-07-22 04:35:00,40.4177,40.4196,40.328,40.4153,0.0
2025-07-22 04:40:00,40.4185,40.419,40.2281,40.4174,0.0
2025-07-22 04:45:00,40.4183,40.4208,40.328,40.4155,0.0
2025-07-22 04:50:00,40.4177,40.4198,40.329,40.335,0.0
2025-07-22 04:55:00,40.3999,40.4196,40.335,40.335,0.0
2025-07-22 05:00:00,40.3774,40.4206,40.33,40.4197,0.0
2025-07-22 05:05:00,40.4198,40.4208,40.33,40.335,0.0
2025-07-22 05:10:00,40.3999,40.4196,40.335,40.335,0.0
2025-07-22 05:15:00,40.3998,40.4205,40.33,40.418,0.0
2025-07-22 05:20:00,40.4192,40.4206,40.33,40.4171,0.0
2025-07-22 05:25:00,40.4184,40.4218,40.33,40.337,0.0
2025-07-22 05:30:00,40.4017,40.4215,40.33,40.335,0.0
2025-07-22 05:35:00,40.4005,40.4203,40.335,40.4201,0.0
2025-07-22 05:40:00,40.4161,40.4208,40.331,40.4197,0.0
2025-07-22 05:45:00,40.42,40.421,40.336,40.336,0.0
2025-07-22 05:50:00,40.4168,40.421,40.331,40.4188,0.0
2025-07-22 05:55:00,40.4196,40.4204,40.336,40.4181,0.0
2025-07-22 06:00:00,40.4192,40.4205,40.336,40.3782,0.0
2025-07-22 06:05:00,40.3993,40.4215,40.331,40.3788,0.0
2025-07-22 06:10:00,40.4002,40.4257,40.331,40.423,0.0
2025-07-22 06:15:00,40.4231,40.4245,40.34,40.4231,0.0
2025-07-22 06:20:00,40.4235,40.4239,40.335,40.34,0.0
2025-07-22 06:25:00,40.4228,40.427,40.334,40.427,0.0
2025-07-22 06:30:00,40.344,40.4278,40.336,40.4253,0.0
2025-07-22 06:35:00,40.4255,40.4256,40.342,40.342,0.0
2025-07-22 06:40:00,40.3836,40.4255,40.333,40.4132,0.0
2025-07-22 06:45:00,40.4181,40.4231,40.333,40.4201,0.0
2025-07-22 06:50:00,40.4213,40.4235,40.333,40.414,0.0
2025-07-22 06:55:00,40.4187,40.424,40.333,40.338,0.0
2025-07-22 07:00:00,40.4196,40.424,40.333,40.4221,0.0
2025-07-22 07:05:00,40.4184,40.4234,40.333,40.4227,0.0
2025-07-22 07:10:00,40.4228,40.423,40.334,40.339,0.0
2025-07-22 07:15:00,40.4037,40.424,40.334,40.4216,0.0
2025-07-22 07:20:00,40.4188,40.4238,40.333,40.339,0.0
2025-07-22 07:25:00,40.334,40.4239,40.334,40.4222,0.0
2025-07-22 07:30:00,40.4229,40.4239,40.339,40.339,0.0
2025-07-22 07:35:00,40.3815,40.4235,40.334,40.339,0.0
2025-07-22 07:40:00,40.4036,40.4241,40.334,40.4211,0.0
2025-07-22 07:45:00,40.4224,40.4241,40.335,40.4238,0.0
2025-07-22 07:50:00,40.424,40.4242,40.34,40.34,0.0
2025-07-22 07:55:00,40.4205,40.424,40.34,40.4137,0.0
2025-07-22 08:00:00,40.419,40.4242,40.34,40.4186,0.0
2025-07-22 08:05:00,40.4209,40.4243,40.335,40.34,0.0
2025-07-22 08:10:00,40.345,40.4245,40.335,40.4213,0.0
2025-07-22 08:15:00,40.4225,40.4244,40.34,40.34,0.0
2025-07-22 08:20:00,40.4045,40.4242,40.34,40.34,0.0
2025-07-22 08:25:00,40.4202,40.4242,40.333,40.339,0.0
2025-07-22 08:30:00,40.3813,40.4241,40.334,40.4221,0.0
2025-07-22 08:35:00,40.42,40.4251,40.3356,40.341,0.0
