,Open,High,Low,Close,Volume
2025-07-22 05:40:00,8.366,8.3751,8.364,8.3685,0.0
2025-07-22 05:45:00,8.3705,8.3781,8.3665,8.375,0.0
2025-07-22 05:50:00,8.3751,8.3828,8.3698,8.3789,0.0
2025-07-22 05:55:00,8.3762,8.3842,8.3695,8.3766,0.0
2025-07-22 06:00:00,8.3775,8.3819,8.372,8.3766,0.0
2025-07-22 06:05:00,8.3774,8.3848,8.3738,8.3813,0.0
2025-07-22 06:10:00,8.3805,8.3835,8.3728,8.3791,0.0
2025-07-22 06:15:00,8.3789,8.3886,8.3758,8.3867,0.0
2025-07-22 06:20:00,8.3855,8.3879,8.3754,8.3796,0.0
2025-07-22 06:25:00,8.3785,8.3844,8.3768,8.3797,0.0
2025-07-22 06:30:00,8.3812,8.3838,8.3773,8.3796,0.0
2025-07-22 06:35:00,8.3797,8.3843,8.3749,8.3784,0.0
2025-07-22 06:40:00,8.3768,8.3836,8.3751,8.3807,0.0
2025-07-22 06:45:00,8.3788,8.3848,8.3756,8.3783,0.0
2025-07-22 06:50:00,8.3772,8.3836,8.3736,8.3777,0.0
2025-07-22 06:55:00,8.3768,8.3806,8.373,8.3753,0.0
2025-07-22 07:00:00,8.3764,8.3823,8.3744,8.3786,0.0
2025-07-22 07:05:00,8.3782,8.3861,8.3724,8.3758,0.0
2025-07-22 07:10:00,8.3744,8.3843,8.3696,8.3837,0.0
2025-07-22 07:15:00,8.3763,8.3844,8.3729,8.3765,0.0
2025-07-22 07:20:00,8.3756,8.3827,8.3699,8.3716,0.0
2025-07-22 07:25:00,8.3699,8.3778,8.3655,8.3724,0.0
2025-07-22 07:30:00,8.3737,8.3831,8.3708,8.3798,0.0
2025-07-22 07:35:00,8.3739,8.3827,8.3668,8.3714,0.0
2025-07-22 07:40:00,8.3764,8.377,8.3618,8.3653,0.0
2025-07-22 07:45:00,8.3638,8.3723,8.3566,8.3624,0.0
2025-07-22 07:50:00,8.3598,8.3726,8.3578,8.3652,0.0
2025-07-22 07:55:00,8.3659,8.3726,8.3585,8.3654,0.0
2025-07-22 08:00:00,8.3655,8.3839,8.3572,8.3721,0.0
2025-07-22 08:05:00,8.3714,8.3753,8.3642,8.3719,0.0
2025-07-22 08:10:00,8.3726,8.3785,8.3651,8.3727,0.0
2025-07-22 08:15:00,8.3727,8.3758,8.3644,8.3739,0.0
2025-07-22 08:20:00,8.3738,8.3802,8.3624,8.37,0.0
2025-07-22 08:25:00,8.3688,8.3807,8.3655,8.3759,0.0
2025-07-22 08:30:00,8.3759,8.3773,8.3686,8.3746,0.0
2025-07-22 08:35:00,8.3715,8.3773,8.366,8.3724,0.0
2025-07-22 08:40:00,8.3739,8.3881,8.3697,8.3849,0.0
2025-07-22 08:45:00,8.3834,8.3922,8.3711,8.3724,0.0
2025-07-22 08:50:00,8.3717,8.3889,8.3611,8.3746,0.0
